,1,2,3,4,5,6,1,2,3,4,5,6
0,MTWTFSS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSS,MTWTFSS,MTWTFSS,,,,
0,05:15,07:05,07:05,07:55,07:55,10:25,13:40,17:10,,,,
1,05:30,07:20,07:20,08:10,08:10,10:40,13:55,17:25,,,,
2,05:32,07:22,07:22,08:12,08:12,10:42,13:57,17:27,,,,
3,05:37,,,,,10:47,14:02,17:32,,,,
4,05:46,07:32,07:32,08:22,08:22,10:56,14:11,17:41,,,,
5,05:52,,,,,11:02,14:17,17:47,,,,
6,05:56,07:42,07:42,08:32,08:32,11:06,14:21,17:51,,,,
7,06:01,,,,,11:11,14:26,17:56,,,,
8,06:06,,,,,11:16,14:31,18:01,,,,
9,06:20,08:10,08:10,09:05,09:05,11:30,14:50,18:20,,,,
10,06:25,,08:15,09:10,09:10,11:35,14:55,18:30,,,,
11,06:31,,08:21,,,11:41,15:01,18:36,,,,
12,06:36,,08:26,,,11:46,15:06,18:41,,,,
13,06:38,----,08:28,,,11:48,15:08,18:43,,,,
14,06:41,,08:31,,,11:51,15:11,18:46,,,,
15,06:45,,08:35,,,11:55,15:15,18:50,,,,
16,06:49,,08:39,,,11:59,15:19,18:54,,,,
17,06:53,,08:43,,,12:03,15:23,18:58,,,,
18,06:56,,08:46,09:28,09:28,12:06,15:26,19:01,,,,
19,07:19,08:40,09:00,09:38,09:38,12:17,15:45,19:17,,,,
20,07:23,,09:04,,09:44,12:21,15:49,19:21,,,,
21,07:26,,09:07,,09:47,12:24,15:52,19:24,,,,
22,07:29,,09:10,,09:50,12:27,15:55,19:27,,,,
23,07:32,,09:13,,09:53,12:30,15:58,19:30,,,,
24,07:34,,09:15,,09:55,12:32,16:00,19:32,,,,
25,07:37,,09:18,,09:58,12:35,16:03,19:35,,,,
26,07:40,,09:21,,10:01,12:38,16:06,19:38,,,,
27,07:43,08:54,09:24,09:48,10:04,12:41,16:09,19:41,,,,
28,07:46,,09:27,,10:07,12:44,16:12,19:44,,,,
29,07:49,08:59,09:30,09:53,10:10,12:47,16:15,19:47,,,,
30,07:51,,09:32,,10:12,12:49,16:17,19:49,,,,
31,07:53,,09:34,,10:14,12:51,16:19,19:51,,,,
32,07:56,,09:37,,10:17,12:54,16:22,19:54,,,,
33,07:59,09:07,09:40,10:02,10:20,12:57,16:25,19:57,,,,
34,08:02,09:10,09:43,10:05,10:23,13:00,16:28,20:00,,,,
35,08:05,09:13,09:46,10:08,10:26,13:03,16:31,20:03,,,,
36,08:14,09:30,09:55,10:28,10:35,13:12,16:40,20:12,,,,
