,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6
0,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSS,MTWTFSX,XXXXXXS,XXXXXXS,MTWTFSX,MTWTFSX,XXXXXXS,XXXXXXS,MTWTFSX,MTWTFSX,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,MTWTFSX,XXXXXXS,MTWTFSX,MTWTFSX,XXXXXXS,MTWTFSS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSS,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSS,MTWTFSX,XXXXXXS,MTWTFSX,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,XXXXXXS,MTWTFSX,MTWTFSX,XXXXXXS,MTWTFSX,MTWTFSX
9,04:31,04:31,05:01,05:01,05:21,05:26,05:46,05:46,06:31,06:31,06:56,07:21,07:21,07:41,07:41,08:01,08:01,08:16,08:21,08:41,,08:46,09:01,09:01,09:16,09:21,09:26,09:28,09:28,10:16,10:16,10:41,11:21,11:21,12:06,12:21,12:21,12:51,12:51,13:36,13:36,14:26,14:26,15:01,15:01,15:26,15:41,15:41,16:16,16:16,16:46,17:06,17:06,17:36,17:36,18:06,18:06,18:46,18:46,19:56,19:16,19:16,19:31,20:01,20:01,20:21,20:21,20:46,21:01,21:01,21:21,21:21,21:46,21:46,22:51,22:51,23:46,23:46
10,04:55,04:55,05:30,05:30,05:45,05:40,06:10,06:10,06:45,06:45,07:19,07:32,07:32,08:00,07:50,08:10,08:10,08:35,08:30,08:50,08:40,09:00,09:10,09:10,09:25,09:30,09:33,09:40,09:38,10:26,10:26,10:56,11:30,11:30,12:17,12:30,12:30,13:00,13:00,13:47,13:47,14:35,14:35,15:15,15:15,15:45,15:50,15:50,16:27,16:27,17:00,17:17,17:17,17:46,17:46,18:15,18:15,18:55,18:55,19:59,19:29,19:29,19:45,20:15,20:15,20:35,20:35,20:55,21:15,21:15,21:30,21:30,22:05,22:05,23:05,23:05,23:55,23:55
11,04:59,04:59,05:34,05:34,05:49,05:44,06:14,06:14,06:49,06:49,07:23,07:36,07:36,08:04,,,08:14,08:39,,,,09:04,,09:14,09:29,09:34,,09:44,,10:30,10:30,11:00,11:34,11:34,12:21,12:34,12:34,13:04,13:04,13:51,13:51,14:39,14:39,15:19,15:19,15:49,15:54,15:54,16:31,16:31,,17:21,17:21,17:50,17:50,18:19,18:19,18:59,18:59,20:03,19:33,19:33,19:49,20:19,20:19,20:39,20:39,20:59,21:19,21:19,21:34,21:34,22:09,22:09,23:09,23:09,23:59,23:59
12,05:02,05:02,05:37,05:37,05:52,05:47,06:17,06:17,06:52,06:52,07:26,07:39,07:39,08:07,,,08:17,08:42,,,,09:07,09:15,09:17,09:32,09:37,09:38,09:47,,10:33,10:33,11:03,11:37,11:37,12:24,12:37,12:37,13:07,13:07,13:54,13:54,14:42,14:42,15:22,15:22,15:52,15:57,15:57,16:34,16:34,17:05,17:24,17:24,17:53,17:53,18:22,18:22,19:02,19:02,20:06,19:36,19:36,19:52,20:22,20:22,20:42,20:42,21:02,21:22,21:22,21:37,21:37,22:12,22:12,23:12,23:12,00:02,00:02
13,05:05,05:05,05:40,05:40,05:55,05:50,06:20,06:20,06:55,06:55,07:29,07:42,07:42,08:10,,,08:20,08:45,,,,09:10,,09:20,09:35,09:40,,09:50,,10:36,10:36,11:06,11:40,11:40,12:27,12:40,12:40,13:10,13:10,13:57,13:57,14:45,14:45,15:25,15:25,15:55,16:00,16:00,16:37,16:37,,17:27,17:27,17:56,17:56,18:25,18:25,19:05,19:05,20:09,19:39,19:39,19:55,20:25,20:25,20:45,20:45,21:05,21:25,21:25,21:40,21:40,22:15,22:15,23:15,23:15,00:05,00:05
14,05:08,05:08,05:43,05:43,05:58,05:53,06:23,06:23,06:58,06:58,07:32,07:45,07:45,08:13,,,08:23,08:48,,,,09:13,,09:23,09:38,09:43,,09:53,,10:39,10:39,11:09,11:43,11:43,12:30,12:43,12:43,13:13,13:13,14:00,14:00,14:48,14:48,15:28,15:28,15:58,16:03,16:03,16:40,16:40,,17:30,17:30,17:59,17:59,18:28,18:28,19:08,19:08,20:12,19:42,19:42,19:58,20:28,20:28,20:48,20:48,21:08,21:28,21:28,21:43,21:43,22:18,22:18,23:18,23:18,00:08,00:08
15,05:10,05:10,05:45,05:45,06:00,05:55,06:25,06:25,07:00,07:00,07:34,07:47,07:47,08:15,,,08:25,08:50,,,,09:15,,09:25,09:40,09:45,,09:55,,10:41,10:41,11:11,11:45,11:45,12:32,12:45,12:45,13:15,13:15,14:02,14:02,14:50,14:50,15:30,15:30,16:00,16:05,16:05,16:42,16:42,,17:32,17:32,18:01,18:01,18:30,18:30,19:10,19:10,20:14,19:44,19:44,20:00,20:30,20:30,20:50,20:50,21:10,21:30,21:30,21:45,21:45,22:20,22:20,23:20,23:20,00:10,00:10
16,05:13,05:13,05:48,05:48,06:03,05:58,06:28,06:28,07:03,07:03,07:37,07:50,07:50,08:18,,,08:28,08:53,,,,09:18,,09:28,09:43,09:48,,09:58,,10:44,10:44,11:14,11:48,11:48,12:35,12:48,12:48,13:18,13:18,14:05,14:05,14:53,14:53,15:33,15:33,16:03,16:08,16:08,16:45,16:45,,17:35,17:35,18:04,18:04,18:33,18:33,19:13,19:13,20:17,19:47,19:47,20:03,20:33,20:33,20:53,20:53,21:13,21:33,21:33,21:48,21:48,22:23,22:23,23:23,23:23,00:13,00:13
17,05:16,05:16,05:51,05:51,06:06,06:01,06:31,06:31,07:06,07:06,07:40,07:53,07:53,08:21,,,08:31,08:56,,,,09:21,,09:31,09:46,09:51,,10:01,,10:47,10:47,11:17,11:51,11:51,12:38,12:51,12:51,13:21,13:21,14:08,14:08,14:56,14:56,15:36,15:36,16:06,16:11,16:11,16:48,16:48,17:15,17:38,17:38,18:07,18:07,18:36,18:36,19:16,19:16,20:20,19:50,19:50,20:06,20:36,20:36,20:56,20:56,21:16,21:36,21:36,21:51,21:51,22:26,22:26,23:26,23:26,00:16,00:16
18,05:19,05:19,05:54,05:54,06:09,06:04,06:34,06:34,07:09,07:09,07:43,07:56,07:56,08:24,08:04,08:24,08:24,08:59,08:43,09:04,08:54,09:24,09:25,09:34,09:49,09:54,09:48,10:04,09:48,10:50,10:50,11:20,11:54,11:54,12:41,12:54,12:54,13:24,13:24,14:11,14:11,14:59,14:59,15:39,15:39,16:09,16:14,16:14,16:51,16:51,17:20,17:41,17:41,18:10,18:10,18:39,18:39,19:19,19:19,20:23,19:53,19:53,20:09,20:39,20:39,20:59,20:59,21:19,21:39,21:39,21:54,21:54,22:29,22:29,23:29,23:29,00:19,00:19
19,05:22,05:22,05:57,05:57,06:12,06:07,06:37,06:37,07:12,07:12,07:46,07:59,07:59,08:27,,,08:27,09:02,,,,09:27,,09:37,09:52,09:57,,10:07,,10:53,10:53,11:23,11:57,11:57,12:44,12:57,12:57,13:27,13:27,14:14,14:14,15:02,15:02,15:42,15:42,16:12,16:17,16:17,16:54,16:54,,17:44,17:44,18:13,18:13,18:42,18:42,19:22,19:22,20:26,19:56,19:56,20:12,20:42,20:42,21:02,21:02,21:22,21:42,21:42,21:57,21:57,22:32,22:32,23:32,23:32,00:22,00:22
20,05:25,05:25,06:00,06:00,06:15,06:10,06:40,06:40,07:15,07:15,07:49,08:02,08:02,08:30,08:09,08:29,08:29,09:05,08:48,09:09,08:59,09:30,09:30,09:40,09:55,10:00,09:53,10:10,09:53,10:56,10:56,11:26,12:00,12:00,12:47,13:00,13:00,13:30,13:30,14:17,14:17,15:05,15:05,15:45,15:45,16:15,16:20,16:20,16:57,16:57,17:25,17:47,17:47,18:16,18:16,18:45,18:45,19:25,19:25,20:29,19:59,19:59,20:15,20:45,20:45,21:05,21:05,21:25,21:45,21:45,22:00,22:00,22:35,22:35,23:35,23:35,00:25,00:25
21,05:27,05:27,06:02,06:02,06:17,06:12,06:42,06:42,07:17,07:17,07:51,08:04,08:04,08:32,,,08:31,09:07,,,,09:32,,09:42,09:57,10:02,,10:12,,10:58,10:58,11:28,12:02,12:02,12:49,13:02,13:02,13:32,13:32,14:19,14:19,15:07,15:07,15:47,15:47,16:17,16:22,16:22,16:59,16:59,,17:59,17:59,18:18,18:18,18:47,18:47,19:27,19:27,20:31,20:01,20:01,20:17,20:47,20:47,21:07,21:07,21:27,21:47,21:47,22:02,22:02,22:37,22:37,23:37,23:37,00:27,00:27
22,05:29,05:29,06:04,06:04,06:19,06:14,06:44,06:44,07:19,07:19,07:53,08:06,08:06,08:34,,,08:33,09:09,,,,09:34,,09:44,09:59,10:04,,10:14,,11:00,11:00,11:30,12:04,12:04,12:51,13:04,13:04,13:34,13:34,14:21,14:21,15:09,15:09,15:49,15:49,16:19,16:24,16:24,17:01,17:01,,18:01,18:01,18:20,18:20,16:49,16:49,19:29,19:29,20:33,20:03,20:03,20:19,20:49,20:49,21:09,21:09,21:29,21:49,21:49,22:04,22:04,22:39,22:39,23:39,23:39,00:29,00:29
23,05:32,05:32,06:07,06:07,06:22,06:17,06:47,06:47,07:22,07:22,07:56,08:09,08:09,08:37,,,08:36,09:12,,,,09:37,,09:47,10:02,10:07,,10:17,,11:03,11:03,11:33,12:07,12:07,12:54,13:07,13:07,13:37,13:37,14:24,14:24,15:12,15:12,15:52,15:52,16:22,16:27,16:27,17:04,17:04,,18:04,18:04,18:23,18:23,18:52,18:52,19:32,19:32,20:36,20:06,20:06,20:22,20:52,20:52,21:12,21:12,21:32,21:52,21:52,22:07,22:07,22:42,22:42,23:42,23:42,00:32,00:32
24,05:35,05:35,06:10,06:10,06:25,06:20,06:50,06:50,07:25,07:25,07:59,08:12,08:12,08:40,08:17,08:37,08:39,09:15,09:00,09:17,09:07,09:40,09:37,09:50,10:05,10:10,10:01,10:20,10:02,11:06,11:06,11:36,12:10,12:10,12:57,13:10,13:10,13:40,13:40,14:27,14:27,15:15,15:15,15:55,15:55,16:25,16:30,16:30,17:07,17:07,17:33,18:07,18:07,18:26,18:26,18:55,18:55,19:35,19:35,20:39,20:09,20:09,20:25,20:55,20:55,21:15,21:15,21:35,21:55,21:55,22:10,22:10,22:45,22:45,23:45,23:45,00:35,00:35
25,05:38,05:38,06:13,06:13,06:28,06:23,06:53,06:53,07:28,07:28,08:02,08:15,08:15,08:43,08:20,08:40,08:42,09:18,09:03,09:20,09:10,09:43,09:40,09:53,10:08,10:13,10:04,10:23,10:05,11:09,11:09,11:39,12:13,12:13,13:00,13:13,13:13,13:43,13:43,14:30,14:30,15:18,15:18,15:58,15:58,16:28,16:33,16:33,17:10,17:10,17:36,18:10,18:10,18:29,18:29,18:58,18:58,19:38,19:38,20:42,20:12,20:12,20:28,20:58,20:58,21:18,21:18,21:38,21:58,21:58,22:13,22:13,22:48,22:48,23:48,23:48,00:38,00:38
26,05:41,05:41,06:16,06:16,06:31,06:26,06:56,06:56,07:31,07:31,08:05,08:18,08:18,08:46,08:23,08:43,08:45,09:21,09:07,09:23,09:13,09:46,09:44,09:56,10:11,10:16,10:07,10:26,10:08,11:12,11:12,11:42,12:16,12:16,13:03,13:16,13:16,13:46,13:46,14:33,14:33,15:21,15:21,16:01,16:01,16:31,16:36,16:36,17:13,17:13,17:39,18:13,18:13,18:32,18:32,19:01,19:01,19:41,19:41,20:45,20:15,20:15,20:31,21:01,21:01,21:21,21:21,21:41,22:01,22:01,22:16,22:16,22:51,22:51,23:51,23:51,00:41,00:41
27,05:50,05:50,06:25,06:25,06:40,06:35,07:05,07:05,07:40,07:40,08:14,08:27,08:27,08:55,08:32,08:52,08:54,09:30,09:15,09:32,09:22,09:55,09:55,10:05,10:20,10:25,10:20,10:35,10:17,11:21,11:21,11:51,12:25,12:25,13:12,13:25,13:25,13:55,13:55,14:42,14:42,15:30,15:30,16:10,16:10,16:40,16:45,16:45,17:22,17:22,17:50,18:22,18:22,18:41,18:41,19:10,19:10,19:50,19:50,20:54,20:24,20:24,20:40,21:10,21:10,21:30,21:30,21:50,22:10,22:10,22:25,22:25,23:00,23:00,00:59,00:59,00:50,00:50
