STATIONS
TIRUMALPUR
KANCHIPURAM
KANCHIPURAM EAST
NATHAPETTAI
WALJABAD
PALAYASIVRAM
PALUR
VILLIYAMBAKKAM
REDDIPALAYAM
CHENGALPATTU
PARANUR
SINGAPERUMAL-KOIL
MARAIMALANGAR-KAMARAJAR
KATTANGULATUR
POTHERI
GUDUVANCHERI
URAPAKKAM
VANDALUR
PERUNGALA-LATTUR
TAMBARAM
TAMBARAM SANATORIUM
CHROMPET
PALLAVARAM
TIRUSULAM
MINAMBAKKAM
PALAVANTANGAL
ST THOMAS MOUNT
GUINDY
SAIDAPET
MAMBALAM
KODAMBAKKAM
NUNGAMBAKKAM
CHENNAI CHETPAT
CHENNAI EGMORE
CHENNAI PARK
CHENNAI FORT
CHENNAI BEACH
