STATIONS
TAMBARAM
TAMBARAM SANATORIUM
CHROMPET
PALLAVARAM
TIRUSULAM
MINAMBAKKAM
PALAVANTANGAL
ST THOMAS MOUNT
GUINDY
SAIDAPET
MAMBALAM
KODAMBAKKAM
NUNGAMBAKKAM
CHENNAI CHETPAT
CHENNAI EGMORE
CHENNAI PARK
CHENNAI FORT
CHENNAI BEACH
