STATIONS
TIRUTTANI
ARAKKONAM
PULIYAMANGALAM
MOSUR
TIRUVALANGADU
MANAVUR
SENJI -PANAMBAKKAM
KADAMBATTUR
EGATTUR
TIRUVALLUR
PUTLUR H
SEVVAPET ROAD
VEPPAMPATTU
TIRUNINRAVUR
NEMILICHERRY H
PATTABIRAM WEST -CABI
PATTABIRAM E -DEPOT
HINDU COLLEGE
AVADI
ANNANUR
TIRUMULLAIVAYIL
AMBATTUR
PATTARAVAKKAM
KORATTUR
VILLYVAKKAM
PERAMBUR LOCO -WORKS
PERAMBUR -CARRAIGE -WORKS
PERAMBUR
VYASARPADI -JEEVA
WASHERMANPET
ROYAPURAM
CHENNAI BEACH
