STATIONS
VELACHERY
PERUNGUDI
TARAMANI
TIRUVANMIYUR
INDRA NAGAR
KASTURBA NAGAR
KOTTURPURAM
GREENWAYS ROAD
MANDAVELY
THIRUMAYILAI
MUNDAKAKANNI -AMMAN KOIL
LIGHT HOUSE
TIRUVALLIKENI
CHEPAUK
CHINTADARIPET
CHENNAI PARK TOWN
CHENNAI FORT
CHENNAI BEACH
