STATIONS
CHENNAI BEACH
ROYAPURAM
WASHERMANPET
VYASARPADI -JEEVA
PERAMBUR
PERAMBUR -CARRIAGE WORKS
PERAMBUR -LOCO WORKS
VILLIVAKKAM
KORATTUR
PATTARAVAKKAM
AMBATTUR
TIRUMULLAIVAYIL
ANNANUR
AVADI
HINDU COLLEGE
PATTABIRAM
NEMILICHERRY H
TIRUNINRAVUR
VEPPAMPATTU
SEVVAPET ROAD
PUTLUR H
TIRUVALLUR
EGATTUR
KADAMBATTUR
SENJI -PANAMBAKKAM
MANAVUR
TIRUVALANGADU
MOSUR
PULIYAMANGALAM
ARAKKONAM
TIRUTTANI
